qa_id,question,true_answer,source_article_id,category,vanilla_answer,vanilla_confidence,rag_answer,rag_confidence,retrieved_chunk_ids
10,How long had it been since Sol Campbell's last goal before this match?,16 months,football_174,football,The specific duration since Sol Campbell's last goal before a particular match is not readily available.,0.3,16 months,0.9,"[""football_174_c0"", ""football_094_c0"", ""athletics_028_c0""]"
11,Which Arsenal player had a shot blocked by Jamie Ashdown?,Thierry Henry,football_174,football,Robin van Persie,0.7,Thierry Henry,0.9,"[""football_174_c1"", ""football_174_c0"", ""football_069_c1""]"
12,Who is the new Scotland manager mentioned in the article?,Walter Smith,football_025,football,I'm not aware of the current Scotland manager as of the latest updates.,0.5,Walter Smith,0.9,"[""football_118_c0"", ""cricket_116_c0"", ""football_114_c0""]"
13,Which team is John Toshack managing for his first game?,Wales,football_025,football,John Toshack managed Swansea City for his first game as a manager.,0.9,Wales,1.0,"[""football_138_c0"", ""football_021_c0"", ""football_132_c0""]"
14,Against which team is Wales playing under John Toshack's management?,Hungary,football_025,football,"John Toshack managed the Wales national team from 2004 to 2010, during which they played against various international teams in qualifiers and friendlies. Without a specific date or context, it's unclear which team you are referring to.",0.5,Hungary,0.9,"[""rugby_037_c0"", ""football_021_c0"", ""rugby_027_c0""]"
15,Who defeated Venus Williams in the first round of the Dubai Championships?,Sylvia Farina Elia,tennis_019,tennis,Venus Williams was defeated by Anna Karolína Schmiedlová in the first round of the 2023 Dubai Championships.,0.9,Sylvia Farina Elia,1.0,"[""tennis_019_c0"", ""tennis_016_c0"", ""tennis_010_c0""]"
16,What was the score when Sylvia Farina Elia defeated Venus Williams?,7-5 7-6 (8-6),tennis_019,tennis,"Sylvia Farina Elia defeated Venus Williams 2-6, 6-2, 7-6(8) at the 2002 German Open.",0.9,7-5 7-6 (8-6),1.0,"[""tennis_019_c0"", ""tennis_097_c0"", ""tennis_036_c0""]"
17,Who did Sania Mirza defeat to reach the second round?,Jelena Kostanic,tennis_019,tennis,Sania Mirza defeated Nadiia Kichenok to reach the second round of the 2020 Australian Open.,0.7,I don't know,0.0,"[""tennis_015_c0"", ""tennis_027_c0"", ""tennis_090_c0""]"
18,Who will Tim Henman face in the first round of the Australian Open?,Cyril Saulnier,tennis_056,tennis,Tim Henman is retired and will not be playing in the Australian Open.,1.0,Cyril Saulnier,1.0,"[""tennis_056_c0"", ""tennis_048_c0"", ""tennis_095_c0""]"
19,Who is the defending champion and world number one at the Australian Open?,Roger Federer,tennis_056,tennis,"As of 2023, Novak Djokovic is the defending champion and Iga Świątek is the world number one in women's singles.",0.9,Roger Federer,0.9,"[""tennis_021_c0"", ""tennis_056_c0"", ""tennis_038_c0""]"
20,Which player is hoping to become the first Australian man to win the event since 1976?,Lleyton Hewitt,tennis_056,tennis,Nick Kyrgios,0.8,Lleyton Hewitt,0.9,"[""tennis_056_c0"", ""tennis_066_c0"", ""tennis_030_c0""]"
21,Which teams were charged by the Football Association?,Liverpool and Millwall,football_140,football,"As of my last update, specific teams charged by the Football Association (FA) can vary over time due to ongoing investigations and incidents. Common reasons for charges include breaches of conduct, financial regulations, or match-related incidents. For the most current and specific information, checking the latest FA announcements or news sources is recommended.",0.6,Liverpool and Millwall,1.0,"[""football_140_c0"", ""football_190_c0"", ""football_103_c0""]"
22,What was the score of the Carling Cup match between Liverpool and Millwall?,3-0,football_140,football,"Liverpool defeated Millwall 3-0 in the Carling Cup on October 26, 2004.",0.9,3-0,0.9,"[""football_140_c0"", ""football_249_c0"", ""football_249_c1""]"
23,Where did the Carling Cup match between Liverpool and Millwall take place?,Millwall's new Den Stadium,football_140,football,"The Carling Cup match between Liverpool and Millwall took place at The Den, Millwall's home ground.",0.9,The Carling Cup match between Liverpool and Millwall took place at Millwall's new Den Stadium.,0.9,"[""football_140_c0"", ""football_103_c0"", ""football_249_c1""]"
24,When is the London Marathon scheduled to take place?,17 April,athletics_019,athletics,The London Marathon is typically scheduled for April each year.,0.8,17 April,1.0,"[""athletics_053_c0"", ""athletics_065_c0"", ""athletics_019_c0""]"
25,Who is the London Marathon race director?,David Bedford,athletics_019,athletics,Hugh Brasher,0.9,David Bedford,1.0,"[""athletics_053_c0"", ""athletics_072_c0"", ""athletics_065_c0""]"
26,In which race did Susan Chepkemei finish third recently?,world best 10K race,athletics_019,athletics,Susan Chepkemei finished third in the 2023 Berlin Marathon.,0.8,Susan Chepkemei finished third in the world best 10K race in Puerto Rico.,0.9,"[""athletics_019_c0"", ""athletics_024_c0"", ""athletics_021_c0""]"
27,"Who is the two-time Olympic 10,000 metres champion mentioned?",Derartu Tulu,athletics_085,athletics,Mo Farah,0.9,I don't know,0.0,"[""athletics_069_c1"", ""athletics_076_c0"", ""athletics_066_c1""]"
28,What event will Derartu Tulu participate in on 8 May?,BUPA Great Caledonian Run,athletics_085,athletics,There is no specific information available about Derartu Tulu participating in an event on 8 May.,0.3,BUPA Great Caledonian Run,1.0,"[""athletics_085_c0"", ""athletics_005_c0"", ""athletics_032_c0""]"
29,Which marathons has Derartu Tulu won?,"Boston, London, Tokyo",athletics_085,athletics,Derartu Tulu has won the London Marathon in 2001 and the New York City Marathon in 2009.,0.9,"Boston, London, and Tokyo Marathons",0.9,"[""athletics_085_c0"", ""athletics_053_c0"", ""athletics_005_c0""]"
30,Who had their suspension lifted by Kenya's athletics body?,Susan Chepkemei,athletics_013,athletics,Diana Kipyokei,0.8,Susan Chepkemei,0.9,"[""athletics_013_c0"", ""athletics_021_c0"", ""athletics_066_c1""]"
31,What event is Susan Chepkemei hoping to compete in?,world cross country championships,athletics_013,athletics,Susan Chepkemei is hoping to compete in marathon events.,0.8,Susan Chepkemei is hoping to compete in the London Marathon on 17 April.,0.9,"[""athletics_019_c0"", ""athletics_024_c0"", ""athletics_021_c0""]"
32,Who is the AK chief that commented on Chepkemei's suspension?,Isaiah Kiplagat,athletics_013,athletics,The AK chief who commented on Chepkemei's suspension is Jackson Tuwei.,0.9,Isaiah Kiplagat,1.0,"[""athletics_013_c0"", ""athletics_021_c0"", ""cricket_091_c0""]"
33,Who was named in Australia's 13-man squad for the Test series in New Zealand?,Brad Hodge,cricket_028,cricket,I don't have the specific details of Australia's 13-man squad for the Test series in New Zealand.,0.2,"Ricky Ponting, Adam Gilchrist, Michael Clarke, Jason Gillespie, Matthew Hayden, Brad Hodge, Michael Kasprowicz, Simon Katich, Justin Langer, Brett Lee, Damien Martyn, Glenn McGrath, Shane Warne.",1.0,"[""cricket_028_c0"", ""cricket_019_c0"", ""cricket_059_c0""]"
34,When will the first Test in New Zealand take place?,10-14 March,cricket_028,cricket,The specific date for the first Test in New Zealand is not provided in the available data.,0.3,4 April,0.9,"[""cricket_113_c0"", ""cricket_019_c0"", ""rugby_088_c0""]"
35,Who are the three bowlers Brett Lee faces competition from?,"Glenn McGrath, Jason Gillespie, Michael Kasprowicz",cricket_028,cricket,"Brett Lee faced competition from bowlers like Shoaib Akhtar, Glenn McGrath, and Shaun Tait during his career.",0.8,I don't know,0.0,"[""cricket_008_c0"", ""cricket_081_c1"", ""cricket_070_c1""]"
36,How many Grand Slams has Lindsay Davenport won?,Three,tennis_040,tennis,Lindsay Davenport has won 3 Grand Slam singles titles.,1.0,3,0.0,"[""tennis_040_c0"", ""tennis_068_c0"", ""tennis_026_c0""]"
37,Which Grand Slam did Lindsay Davenport win in 2000?,Australian Open,tennis_040,tennis,Lindsay Davenport won the Australian Open in 2000.,1.0,Australian Open,1.0,"[""tennis_040_c0"", ""tennis_068_c0"", ""tennis_026_c0""]"
38,Why did Lindsay Davenport decide not to participate in the Hopman Cup?,To rest her knee,tennis_040,tennis,"Lindsay Davenport decided not to participate in the Hopman Cup due to personal reasons, which were not publicly specified.",0.7,Lindsay Davenport decided not to participate in the Hopman Cup because she wanted to rest her knee and ensure her right knee could withstand the rigours of the upcoming year.,0.9,"[""tennis_040_c0"", ""tennis_037_c0"", ""tennis_047_c0""]"
39,Who turned down Roger Federer's offer to be his full-time coach?,Tony Roche,tennis_074,tennis,Stefan Edberg turned down Roger Federer's offer to be his full-time coach.,0.9,Tony Roche,1.0,"[""tennis_074_c0"", ""tennis_062_c0"", ""tennis_061_c0""]"
40,Which tournament is Roger Federer preparing to defend with Tony Roche's help?,Australian Open,tennis_074,tennis,Roger Federer was preparing to defend his Wimbledon title with Tony Roche's help.,0.9,Australian Open,0.9,"[""tennis_074_c0"", ""tennis_008_c0"", ""tennis_056_c0""]"
41,Who was Roger Federer's coach before he split in 2003?,Peter Lundgren,tennis_074,tennis,Peter Lundgren,1.0,Peter Lundgren,1.0,"[""tennis_074_c0"", ""tennis_061_c0"", ""tennis_062_c0""]"
42,Who is the captain of Italy's rugby team?,Marco Bortolami,rugby_135,rugby,"As of the latest information, the captain of Italy's rugby team is Michele Lamaro.",0.9,M Bortolami,0.9,"[""rugby_067_c0"", ""rugby_143_c1"", ""rugby_029_c1""]"
43,Where is the third-round Six Nations game between Italy and Scotland being played?,Murrayfield,rugby_135,rugby,"Stadio Olimpico, Rome, Italy",0.9,"Murrayfield, Edinburgh",1.0,"[""rugby_039_c0"", ""rugby_052_c0"", ""rugby_135_c0""]"
44,What was the score when Italy played against Ireland?,28-17,rugby_135,rugby,"The score of the match between Italy and Ireland is not specified. Please provide more context, such as the date or tournament.",0.2,Italy 17-28 Ireland,1.0,"[""rugby_019_c0"", ""rugby_018_c0"", ""rugby_031_c0""]"
45,Who called for athletes found guilty on drugs charges to be treated as criminals?,Paula Radcliffe,athletics_046,athletics,Sebastian Coe,0.8,Paula Radcliffe,1.0,"[""athletics_046_c0"", ""athletics_045_c0"", ""athletics_039_c0""]"
46,What does Paula Radcliffe believe doping in sport should be treated as?,criminal offence,athletics_046,athletics,Paula Radcliffe believes doping in sport should be treated as a form of fraud.,0.9,Paula Radcliffe believes doping in sport should be treated as a criminal offence.,0.9,"[""athletics_046_c0"", ""athletics_040_c0"", ""athletics_039_c0""]"
47,How old is Paula Radcliffe as mentioned in the article?,30,athletics_046,athletics,I'm not sure about Paula Radcliffe's age as mentioned in the article.,0.2,30,0.9,"[""athletics_040_c0"", ""athletics_065_c0"", ""athletics_040_c1""]"
48,Which tournament is Scotland preparing for?,RBS Six Nations,rugby_070,rugby,Scotland is likely preparing for the UEFA Euro 2024 tournament.,0.8,I don't know,0.0,"[""cricket_051_c0"", ""football_034_c0"", ""cricket_051_c1""]"
49,Who will miss the first two games due to an ankle injury?,Simon Taylor,rugby_070,rugby,I'm not sure who will miss the first two games due to an ankle injury as the information is not specified.,0.2,Simon Taylor,0.9,"[""football_017_c0"", ""rugby_070_c0"", ""rugby_121_c0""]"
50,When is Scotland's opener in Paris scheduled?,5 February,rugby_070,rugby,The specific date for Scotland's opener in Paris is not provided in the available data.,0.3,5 February,0.9,"[""rugby_037_c0"", ""rugby_039_c0"", ""rugby_070_c0""]"
51,What was the score of Australia in the third Test against India?,398,cricket_045,cricket,The specific score of Australia in the third Test against India is not available in the data up to October 2023.,0.5,Australia 398,0.9,"[""cricket_045_c0"", ""cricket_044_c0"", ""cricket_086_c0""]"
52,Who took 2-18 in 20 overs for Australia?,Glenn McGrath,cricket_045,cricket,No Australian bowler has taken 2-18 in 20 overs in a recognized cricket match.,0.9,I don't know,0.0,"[""cricket_056_c0"", ""cricket_086_c0"", ""cricket_088_c0""]"
53,How many runs did Mohammad Kaif score not out?,47,cricket_045,cricket,Mohammad Kaif scored 87 not out in the NatWest Series final against England in 2002.,0.9,47,0.9,"[""cricket_077_c0"", ""cricket_007_c0"", ""cricket_045_c0""]"
54,Which sprinter is determined to get his indoor campaign back on track?,Mark Lewis-Francis,athletics_098,athletics,Christian Coleman,0.8,Mark Lewis-Francis,0.9,"[""athletics_098_c0"", ""athletics_070_c0"", ""athletics_071_c0""]"
55,Who did Mark Lewis-Francis pull out of the 60m final against at the Birmingham Games?,Jason Gardener,athletics_098,athletics,Mark Lewis-Francis pulled out of the 60m final against Dwain Chambers at the Birmingham Games.,0.8,I don't know,0.0,"[""athletics_098_c0"", ""athletics_094_c0"", ""athletics_067_c0""]"
56,When is the Norwich Union Grand Prix in Birmingham?,18 February,athletics_098,athletics,"The Norwich Union Grand Prix, now known as the Müller Grand Prix Birmingham, typically takes place in August. However, the exact date can vary each year.",0.8,18 February,1.0,"[""athletics_029_c0"", ""athletics_010_c0"", ""athletics_084_c0""]"
57,Who is the president of the Kenya Cricket Association?,Sharad Ghai,cricket_091,cricket,"As of the latest information available, the president of the Kenya Cricket Association is Manoj Patel.",0.8,Sharad Ghai,1.0,"[""cricket_091_c0"", ""football_258_c0"", ""cricket_116_c0""]"
58,Who appointed the caretaker committee for Kenya Cricket Association?,Sports Minister Ochillo Ayacko,cricket_091,cricket,"The caretaker committee for Kenya Cricket Association was appointed by the Kenyan government through the Ministry of Sports, Culture and Heritage.",0.9,Sports Minister Ochillo Ayacko,1.0,"[""cricket_091_c0"", ""cricket_116_c0"", ""football_258_c0""]"
59,How long is the caretaker committee supposed to serve before new elections?,Three months,cricket_091,cricket,"The duration a caretaker committee serves before new elections can vary depending on the organization's rules or the specific context. Typically, it might be a few months to a year, but there is no standard duration.",0.5,Three months,0.9,"[""cricket_091_c0"", ""football_203_c0"", ""football_157_c0""]"
60,Who won the Dubai Championship?,Roger Federer,tennis_005,tennis,"The Dubai Championship is a golf tournament on the European Tour. The most recent winner, as of 2023, is Matt Fitzpatrick.",0.8,Roger Federer,1.0,"[""tennis_013_c0"", ""tennis_005_c0"", ""tennis_096_c0""]"
61,What was the score of the first set between Federer and Ljubicic?,6-1,tennis_005,tennis,The score of the first set between Federer and Ljubicic in the 2006 Miami Open final was 7-6 in favor of Federer.,0.9,6-1,0.9,"[""tennis_005_c0"", ""tennis_013_c0"", ""tennis_098_c0""]"
62,Who did Ivan Ljubicic beat in the last eight?,Tim Henman,tennis_005,tennis,"The question lacks context regarding the specific tournament or year. Ivan Ljubicic has played in many tournaments, so it's unclear who he beat in the quarterfinals without additional information.",0.2,Tim Henman,1.0,"[""tennis_013_c0"", ""tennis_005_c0"", ""tennis_098_c0""]"
63,How many goals has Adriano scored in Serie A this season?,14 goals,football_074,football,"Adriano is not currently playing in Serie A, so he has not scored any goals this season.",1.0,14,0.9,"[""football_074_c0"", ""football_219_c1"", ""football_058_c0""]"
64,Which team was Adriano reported to have been linked with?,Chelsea,football_074,football,"Adriano has been linked with several teams throughout his career, but without a specific time frame or context, it's unclear which team is being referred to. Historically, he has been linked with teams like Flamengo, Inter Milan, and AS Roma.",0.5,"Adriano was reported to have been linked with Chelsea, Parma, and Real Madrid.",0.9,"[""football_074_c0"", ""football_109_c0"", ""football_172_c0""]"
65,What is the reported price tag Inter Milan placed on Adriano?,£40m,football_074,football,Inter Milan reportedly placed a price tag of £60 million on Adriano.,0.8,£40m,0.9,"[""football_074_c0"", ""football_172_c0"", ""football_223_c1""]"
66,What is the venue for the Fourth Test between South Africa and England?,Wanderers,cricket_043,cricket,"The Wanderers Stadium, Johannesburg",0.9,Wanderers,0.9,"[""cricket_063_c0"", ""cricket_042_c0"", ""cricket_071_c0""]"
67,What time does play start for the Fourth Test?,0830 GMT,cricket_043,cricket,"The start time for a cricket Test match can vary depending on the location and the series. Typically, play starts at 11:00 AM local time, but it's best to check the specific series schedule for accurate information.",0.6,0830 GMT,1.0,"[""cricket_042_c0"", ""cricket_063_c0"", ""cricket_083_c1""]"
68,Who is the captain of the England team?,Michael Vaughan,cricket_043,cricket,"As of the latest information, Jos Buttler is the captain of the England cricket team in limited-overs formats, and Ben Stokes is the captain for the Test team.",0.9,Jonny Wilkinson,0.9,"[""rugby_090_c0"", ""cricket_089_c0"", ""rugby_092_c1""]"
69,Who has been named as a centre in England's team to face Wales?,Mathew Tait,rugby_068,rugby,Ollie Lawrence and Joe Marchant have been named as centres in England's team to face Wales.,0.9,Mathew Tait,0.9,"[""rugby_068_c0"", ""rugby_050_c0"", ""rugby_100_c0""]"
70,Which team is Mathew Tait from?,Newcastle,rugby_068,rugby,Mathew Tait is a retired English rugby union player who last played for Leicester Tigers.,0.9,Newcastle,1.0,"[""rugby_068_c0"", ""cricket_010_c0"", ""rugby_137_c0""]"
71,Who is the England coach mentioned in the article?,Andy Robinson,rugby_068,rugby,I'm unable to determine the England coach mentioned in the article without additional context.,0.2,Andy Robinson,1.0,"[""rugby_047_c0"", ""cricket_116_c0"", ""rugby_040_c0""]"
72,Which club made an £8m bid for Andy Reid and Michael Dawson?,Tottenham,football_097,football,Tottenham Hotspur,0.9,Tottenham,1.0,"[""football_097_c0"", ""football_157_c1"", ""football_160_c0""]"
73,How much did Southampton offer for Andy Reid?,£3m-plus and two players,football_097,football,Southampton offered £5 million for Andy Reid in 2004.,0.8,£3m-plus and two players,0.9,"[""football_097_c0"", ""football_139_c0"", ""football_176_c0""]"
74,Who are the two players included in Southampton's offer?,Brett Ormerod and Darren Kenton,football_097,football,The specific players included in Southampton's offer are not publicly disclosed or confirmed in available data.,0.3,Brett Ormerod and Darren Kenton,1.0,"[""football_097_c0"", ""football_086_c1"", ""football_086_c0""]"
75,What was the final score between Newcastle and Gloucester?,27-27,rugby_010,rugby,The final score between Newcastle and Gloucester is not specified. Please provide the date or context for the match.,0.2,27-27,1.0,"[""rugby_010_c0"", ""rugby_093_c0"", ""football_247_c1""]"
76,Who scored a try for Newcastle after a chip ahead?,Michael Stephenson,rugby_010,rugby,The specific player who scored a try for Newcastle after a chip ahead is not provided in the available data.,0.3,Michael Stephenson,0.9,"[""rugby_010_c0"", ""football_247_c0"", ""football_247_c1""]"
77,Who missed the conversion for Gloucester after Luke Narraway's try?,Henry Paul,rugby_010,rugby,Ryan Lamb,0.8,Henry Paul,0.9,"[""rugby_010_c0"", ""rugby_011_c0"", ""rugby_141_c1""]"
78,"Who set a new world record in the women's 5,000m?",Tirunesh Dibaba,athletics_005,athletics,"Faith Kipyegon set a new world record in the women's 5,000m in June 2023.",0.9,Tirunesh Dibaba,1.0,"[""athletics_005_c0"", ""athletics_069_c1"", ""athletics_076_c0""]"
79,"What was Tirunesh Dibaba's winning time in the 5,000m?",14 minutes 32.93 seconds,athletics_005,athletics,"Tirunesh Dibaba's winning time in the 5,000m at the 2008 Beijing Olympics was 15:41.40.",0.9,14 minutes 32.93 seconds,1.0,"[""athletics_005_c0"", ""athletics_076_c0"", ""athletics_069_c1""]"
80,"Who won the men's 3,000m race?",Alistair Cragg,athletics_005,athletics,"The winner of the men's 3,000m race is not specified. Please provide more context or specify the event.",0.2,I don't know,0.0,"[""athletics_069_c1"", ""athletics_058_c2"", ""athletics_076_c0""]"
81,Who is the captain of Liverpool?,Steven Gerrard,football_180,football,"As of the 2023/2024 season, the captain of Liverpool is Virgil van Dijk.",0.9,Steven Gerrard,1.0,"[""football_024_c0"", ""football_202_c0"", ""football_180_c0""]"
82,Which club showed interest in Steven Gerrard?,Chelsea,football_180,football,"Al-Ettifaq, a Saudi Arabian club, showed interest in Steven Gerrard.",0.9,Chelsea and Real Madrid,0.9,"[""football_149_c0"", ""football_180_c0"", ""football_018_c0""]"
83,Which Real Madrid player did Gerrard urge Liverpool to sign?,Fernando Morientes,football_180,football,Steven Gerrard urged Liverpool to sign Jude Bellingham.,0.9,Fernando Morientes,1.0,"[""football_180_c0"", ""football_149_c0"", ""football_018_c0""]"
84,Who won the Tsunami Appeal match in Melbourne?,ICC World XI,cricket_114,cricket,The Asian XI won the Tsunami Appeal match in Melbourne.,0.9,ICC World XI,1.0,"[""cricket_114_c0"", ""cricket_041_c0"", ""rugby_129_c0""]"
85,How many runs did Ricky Ponting score in the match?,115,cricket_114,cricket,"The specific match is not mentioned, so I cannot provide the number of runs Ricky Ponting scored.",0.5,I don't know,0.0,"[""cricket_074_c0"", ""cricket_086_c0"", ""cricket_046_c0""]"
86,What was the total score of the Asian XI?,232,cricket_114,cricket,The total score of the Asian XI in a specific match or series is not provided. Please specify the match or context.,0.2,232,1.0,"[""cricket_041_c0"", ""cricket_114_c0"", ""cricket_041_c1""]"
87,What is Sarah Claxton's new British record time for the 60m hurdles?,7.96 seconds,athletics_001,athletics,Sarah Claxton set a new British record for the 60m hurdles with a time of 7.96 seconds.,0.9,7.96 seconds,1.0,"[""athletics_001_c0"", ""athletics_058_c1"", ""athletics_018_c0""]"
88,Where will the European Indoor Championships take place?,Madrid,athletics_001,athletics,"The 2023 European Athletics Indoor Championships took place in Istanbul, Turkey.",0.9,Madrid,0.9,"[""athletics_068_c0"", ""athletics_071_c0"", ""athletics_060_c0""]"
89,When will the European Indoor Championships occur?,5-6 March,athletics_001,athletics,"The European Indoor Championships are scheduled to occur from March 2 to March 5, 2023.",0.9,The European Indoor Championships will occur on 4-6 March.,0.9,"[""athletics_068_c0"", ""athletics_071_c0"", ""athletics_060_c0""]"
90,Who did Amelie Mauresmo defeat in her opening match?,Vera Zvonareva,tennis_054,tennis,The specific opponent Amelie Mauresmo defeated in her opening match is not provided in the available data.,0.3,Vera Zvonareva,1.0,"[""tennis_097_c0"", ""tennis_054_c0"", ""tennis_026_c1""]"
91,What was the score of Maria Sharapova's victory over Svetlana Kuznetsova?,6-1 6-4,tennis_054,tennis,"Maria Sharapova defeated Svetlana Kuznetsova 4-6, 6-2, 6-2 in the 2006 US Open quarterfinals.",0.8,6-1 6-4,1.0,"[""tennis_100_c0"", ""tennis_054_c0"", ""tennis_015_c0""]"
92,Where is the Tour Championships event being held?,Los Angeles,tennis_054,tennis,"The Tour Championship is held at East Lake Golf Club in Atlanta, Georgia.",0.9,I don't know,0.0,"[""tennis_038_c0"", ""tennis_037_c0"", ""tennis_064_c0""]"
93,What sport did Dougie Walker participate in?,Athletics,athletics_031,athletics,"Dougie Walker participated in athletics, specifically sprinting.",0.9,athletics,0.9,"[""athletics_031_c0"", ""rugby_078_c0"", ""athletics_068_c1""]"
94,Where is the New Year Sprint staged?,Musselburgh Racecourse,athletics_031,athletics,"The New Year Sprint is staged in Musselburgh, Scotland.",0.9,I don't know,0.0,"[""athletics_094_c0"", ""athletics_042_c0"", ""athletics_098_c0""]"
95,How long was Dougie Walker suspended in 1998?,Two years,athletics_031,athletics,Dougie Walker was suspended for two years in 1998.,0.9,two years,1.0,"[""athletics_031_c0"", ""football_159_c0"", ""rugby_036_c0""]"
96,Who defeated Guillermo Coria in the Heineken Open semi-final?,Olivier Rochus,tennis_032,tennis,Guillermo Coria was defeated by Dominik Hrbatý in the Heineken Open semi-final in 2004.,0.9,Olivier Rochus,1.0,"[""tennis_032_c0"", ""tennis_057_c0"", ""tennis_060_c1""]"
97,What was the score of the match between Guillermo Coria and Olivier Rochus?,6-4 6-4,tennis_032,tennis,"The score of the match between Guillermo Coria and Olivier Rochus is not specified. More context, such as the tournament or year, is needed to provide an accurate answer.",0.3,6-4 6-4,1.0,"[""tennis_032_c0"", ""tennis_057_c0"", ""tennis_086_c0""]"
98,Who will Olivier Rochus face in the final?,Jan Hernych,tennis_032,tennis,I don't have information on Olivier Rochus's current or upcoming matches.,0.2,I don't know,0.0,"[""tennis_032_c0"", ""tennis_091_c0"", ""tennis_004_c0""]"
99,Who is replacing Mauro Bergamasco at flanker?,David dal Maso,rugby_067,rugby,"The specific replacement for Mauro Bergamasco at flanker would depend on the team and match context, which is not provided in the question.",0.3,David dal Maso,0.9,"[""rugby_067_c0"", ""rugby_143_c1"", ""rugby_029_c1""]"
100,Which team is Italy facing on Saturday?,Scotland,rugby_067,rugby,I don't have the current schedule for Italy's matches.,0.2,Scotland,0.9,"[""rugby_135_c0"", ""rugby_052_c0"", ""rugby_022_c0""]"
101,Who continues at scrum-half for Italy?,Alessandro Troncon,rugby_067,rugby,Alessandro Garbisi,0.8,Alessandro Troncon,0.9,"[""rugby_067_c0"", ""rugby_022_c0"", ""rugby_039_c0""]"
102,How many C&G Trophy matches will Ireland be guaranteed from 2006?,nine,cricket_123,cricket,"Ireland was guaranteed to play in the C&G Trophy from 2006, but the exact number of matches they were guaranteed is not specified in the available data.",0.5,nine,0.9,"[""cricket_123_c0"", ""football_040_c0"", ""rugby_081_c0""]"
103,Who is the skipper of the Irish cricket team mentioned in the article?,Jason Molins,cricket_123,cricket,"I don't have access to the specific article you're referring to, so I can't provide the name of the current skipper of the Irish cricket team mentioned there.",0.2,Jason Molins,1.0,"[""rugby_081_c0"", ""rugby_071_c0"", ""cricket_123_c0""]"
104,Against which team will Ireland play a fixture at Edgbaston on 24 April?,Warwickshire,cricket_123,cricket,Ireland will play against England at Edgbaston on 24 April.,0.8,Warwickshire,0.9,"[""cricket_123_c0"", ""rugby_040_c0"", ""football_038_c0""]"
105,What was the final score between Italy and Ireland?,Italy 17-28 Ireland,rugby_019,rugby,"The final score between Italy and Ireland is not specified. Please provide more context, such as the date or event.",0.3,Italy 17-28 Ireland,1.0,"[""rugby_019_c0"", ""rugby_031_c0"", ""rugby_018_c0""]"
106,Who set up tries for Geordan Murphy and Peter Stringer?,Brian O'Driscoll,rugby_019,rugby,Ronan O'Gara set up tries for Geordan Murphy and Peter Stringer.,0.8,I don't know,0.0,"[""rugby_096_c1"", ""rugby_040_c1"", ""rugby_031_c1""]"
